Time,distance
13:29:42,0.5
13:29:46,1.25
13:29:48,1.5
13:29:52,1.05
13:29:57,2
13:30:02,1.5
13:30:04,1
13:30:07,0.5
13:30:11,0
13:30:15,1.1
13:30:18,1.6
13:30:22,2
13:30:26,1.5
13:30:29,1
13:30:31,0.5
13:30:35,0
13:30:42,1.1
13:30:45,1.6
13:30:48,2
