0,283,48.41
605,288,50.35
1211,318,61.84
1817,345,83.01
2425,358,107.10
3035,363,128.26
3645,365,140.30
4257,366,144.15
4869,366,146.31
5480,366,146.44
6092,367,146.62
6704,366,146.75
7315,365,140.73
7926,362,123.84
8538,355,102.97
9146,354,98.73
9755,353,99.06
10364,355,100.38
10973,360,112.86
11583,364,132.62
12194,367,154.01
12806,369,175.62
13420,371,191.24
14034,371,196.80
14649,371,198.58
15263,372,198.65
15879,371,192.59
16493,369,177.59
17106,368,165.10
17720,366,151.18
18331,366,146.50
18944,367,147.46
19555,364,131.99
20166,357,107.29
20775,353,95.15
21384,352,95.15
21993,348,88.07
22601,309,56.96
23207,282,49.53
23814,282,48.40
24420,280,48.43
25026,237,39.67
25631,48,21.16
26235,36,10.86
26840,32,7.60
27443,28,3.98
28046,29,4.73
28649,44,17.44
29253,269,45.72
29859,343,82.65
30468,357,108.83
31077,356,103.14
31686,354,100.52
32295,355,100.43
-32632,358,110.63
-32022,365,142.53
-31411,367,151.25
-30798,367,148.79
-30187,367,148.96
-29575,368,164.81
-28962,371,195.96
-28347,371,196.80
-27732,371,195.92
-27118,372,196.02
-26503,371,195.60
-25888,370,195.97
-25274,371,188.65
-24659,367,160.56
-24047,367,144.99
-23435,367,145.52
-22823,366,145.29
-22212,364,134.83
-21601,354,98.22
-20991,352,93.96
-20383,353,96.69
-19774,352,94.31
-19166,326,66.28
-18558,279,47.78
-17952,276,47.18
-17347,281,47.93
-16741,246,41.23
-16135,43,16.91
-15532,31,5.32
-14927,25,2.62
-14324,24,2.74
-13721,25,4.24
-13118,24,2.73
-12515,42,16.79
-11911,286,50.11
-11304,309,56.97
-10698,305,55.99
-10092,299,53.83
-9485,294,52.22
-8880,333,71.98
-8271,354,98.15
-7663,356,102.08
-7054,354,99.61
-6445,354,99.11
-5836,362,122.54
-5226,368,150.13
-4614,367,149.02
-4001,367,148.52
-3390,369,157.78
-2778,371,191.89
-2163,371,198.77
-1549,371,198.01
-933,372,198.07
-319,372,197.48
295,371,197.60
911,372,197.55
1525,372,190.88
