-13979,357,1201.91
-13305,358,1201.87
-12632,358,1201.96
-11958,357,1202.06
-11284,357,1202.01
-10610,357,214.86
-9995,358,1202.06
-9321,360,194.05
-8707,359,194.00
-8092,359,193.16
-7477,360,217.46
-6861,360,193.64
-6247,360,194.88
-5632,360,218.77
-5016,356,195.18
-4402,357,169.46
-3788,357,1201.91
-3114,357,220.02
-2499,357,219.26
-1883,357,219.59
-1267,357,1201.91
-593,357,1202.09
80,358,1201.94
754,358,1201.99
1428,358,1201.85
2102,357,219.55
2717,357,220.98
3334,357,219.11
3950,357,219.69
4566,358,219.16
5182,358,220.46
5797,357,1202.04
6471,359,1202.13
7145,359,1201.87
7819,358,1201.96
8493,358,1202.06
9166,358,1201.97
