-30029,362,222.28
-29413,361,223.17
-28796,361,222.71
-28180,361,222.28
-27565,360,222.80
-26948,360,222.28
-26332,360,222.28
-25715,360,223.17
-25099,361,223.60
-24483,360,222.83
-23867,360,222.81
-23250,359,222.32
-22634,360,223.17
-22018,359,222.73
-21402,360,222.71
-20786,360,222.81
-20169,360,223.17
-19553,361,222.74
-18936,362,221.30
-18321,363,227.87
-17703,362,227.70
-17087,362,228.13
-16471,359,189.39
-15856,358,227.67
-15240,358,227.25
-14623,359,227.25
-14007,359,227.72
-13390,358,227.29
-12774,358,227.70
-12157,360,227.60
-11541,359,228.15
-10925,358,227.31
-10308,359,228.15
-9691,359,227.25
-9074,359,227.31
-8458,359,227.29
-7841,358,228.16
-7225,357,228.15
-6608,357,227.73
-5992,358,228.16
-5375,358,227.29
