9424,353,83.01
10033,352,83.33
10641,353,82.92
11286,352,82.90
11894,353,83.31
12502,354,83.31
13110,355,85.66
13718,357,87.34
14326,355,87.34
14935,356,87.28
15543,356,86.85
16151,356,87.22
16759,355,87.76
17368,356,88.24
17976,357,87.76
18584,356,87.72
19192,356,87.76
19801,355,88.01
20409,355,88.19
21017,355,88.60
21625,355,88.12
22234,355,87.71
22842,355,88.12
23450,355,88.12
24059,354,88.10
24668,355,88.12
25276,355,88.12
25884,355,88.13
26492,355,88.12
27101,354,88.13
27709,355,88.17
28317,355,87.71
28925,355,88.13
29534,354,88.13
30142,355,88.19
30750,355,88.12
31358,354,88.17
