time,angle,vel_pc,vel_pt,total_count
240236,45,90,131,6
240636,90,90,119,6
241077,135,90,108,6
241462,180,90,125,6
241865,225,90,119,6
242232,270,135,132,6
242619,315,135,124,6
243046,0,135,111,7
243417,45,135,130,7
243816,90,135,119,7
244259,135,90,108,7
244643,180,90,125,7
245048,225,90,119,7
245417,270,135,131,7
245800,315,135,126,7
246232,0,90,110,8
246602,45,90,130,8
247003,90,90,119,8
247443,135,135,108,8
247828,180,135,125,8
248232,225,90,118,8
248599,270,90,132,8
248984,315,90,125,8
249410,0,135,111,9
249781,45,135,130,9
250180,90,90,120,9
250617,135,90,109,9
251001,180,90,125,9
251403,225,135,119,9
251769,270,135,132,9
256745,225,0,-47,9
256975,180,0,-220,9
257207,135,-90,-218,9
257420,90,-90,-240,9
257667,45,-90,-203,9
257893,0,-90,-222,8
258104,315,-180,-243,8
258351,270,-180,-204,8
258569,225,-180,-234,8
258778,180,-180,-246,8
259002,135,-180,-227,8
259209,90,-225,-246,8
259451,45,-225,-206,8
259674,0,-225,-226,7
259879,315,-225,-252,7
260120,270,-180,-209,7
260333,225,-180,-241,7
260537,180,-180,-253,7
260754,135,-180,-236,7
260960,90,-180,-248,7
261197,45,-225,-211,7
261415,0,-225,-231,6
261620,315,-225,-253,6
261860,270,-225,-211,6
262073,225,-225,-239,6
262276,180,-225,-256,6
262495,135,-225,-233,6
262699,90,-225,-252,6
262937,45,-225,-210,6
263155,0,-180,-230,5
263359,315,-180,-253,5
263600,270,-180,-210,5
263812,225,-180,-243,5
264014,180,-180,-256,5
264233,135,-225,-232,5
264436,90,-225,-252,5
264677,45,-225,-208,5
264894,0,-225,-233,4
265098,315,-180,-253,4
265337,270,-180,-211,4
265548,225,-180,-242,4
265750,180,-180,-256,4
265965,135,-180,-239,4
266174,90,-225,-244,4
266409,45,-225,-213,4
266626,0,-225,-233,3
266828,315,-225,-255,3
267067,270,-225,-212,3
267278,225,-225,-243,3
267479,180,-225,-258,3
267696,135,-225,-236,3
267899,90,-225,-251,3
268137,45,-180,-211,3
268350,0,-180,-238,2
268554,315,-180,-253,2
268791,270,-180,-213,2
269001,225,-180,-244,2
269201,180,-225,-260,2
269415,135,-225,-239,2
269620,90,-225,-250,2
269855,45,-225,-213,2
270068,0,-225,-237,1
270269,315,-225,-258,1
270504,270,-225,-215,1
270713,225,-225,-246,1
270910,180,-225,-264,1
271124,135,-180,-239,1
271326,90,-180,-255,1
271560,45,-180,-213,1
271772,0,-180,-239,0
271971,315,-180,-260,0
272207,270,-225,-214,0
272414,225,-225,-248,0
272611,180,-225,-264,0
272826,135,-225,-239,0
273026,90,-225,-256,0
273261,45,-225,-213,0
273470,0,-225,-243,-1
273672,315,-225,-256,-1
273906,270,-225,-216,-1
274113,225,-180,-250,-1
274309,180,-180,-265,-1
274523,135,-180,-239,-1
274727,90,-180,-250,-1
274957,45,-180,-220,-1
275169,0,-225,-237,-2
275368,315,-225,-259,-2
275605,270,-225,-214,-2
275812,225,-225,-250,-2
276007,180,-225,-265,-2
276224,135,-225,-238,-2
276426,90,-225,-253,-2
276659,45,-225,-217,-2
276869,0,-225,-242,-3
277068,315,-225,-259,-3
277303,270,-225,-216,-3
277510,225,-225,-250,-3
277706,180,-225,-265,-3
277922,135,-225,-238,-3
278124,90,-180,-254,-3
278354,45,-180,-218,-3
278566,0,-180,-239,-4
278766,315,-180,-258,-4
279001,270,-180,-216,-4
279208,225,-225,-248,-4
279404,180,-225,-266,-4
279619,135,-225,-238,-4
279821,90,-225,-255,-4
280050,45,-225,-219,-4
280260,0,-225,-241,-5
280461,315,-225,-259,-5
280694,270,-225,-217,-5
280899,225,-225,-252,-5
281095,180,-180,-265,-5
281310,135,-180,-239,-5
281509,90,-180,-256,-5
281741,45,-180,-218,-5
281948,0,-180,-244,-6
282150,315,-225,-255,-6
282383,270,-225,-218,-6
282588,225,-225,-251,-6
282785,180,-225,-264,-6
283000,135,-225,-239,-6
283198,90,-225,-260,-6
283429,45,-225,-217,-6
283640,0,-225,-240,-7
283840,315,-225,-259,-7
284072,270,-225,-218,-7
284277,225,-225,-252,-7
284475,180,-225,-262,-7
284690,135,-225,-239,-7
284890,90,-225,-256,-7
285117,45,-180,-222,-7
285327,0,-180,-241,-8
285527,315,-180,-261,-8
285756,270,-180,-220,-8
285962,225,-180,-251,-8
286157,180,-225,-266,-8
286370,135,-225,-241,-8
286568,90,-225,-260,-8
286797,45,-225,-221,-8
287008,0,-225,-238,-9
287207,315,-225,-262,-9
287438,270,-225,-219,-9
287643,225,-225,-252,-9
287839,180,-225,-265,-9
288052,135,-225,-241,-9
288251,90,-225,-256,-9
288480,45,-225,-222,-9
288689,0,-225,-242,-10
288887,315,-225,-260,-10
289118,270,-180,-220,-10
289321,225,-180,-254,-10
289517,180,-180,-266,-10
289729,135,-180,-243,-10
289927,90,-180,-260,-10
290157,45,-225,-218,-10
290365,0,-225,-244,-11
290565,315,-225,-259,-11
290795,270,-225,-220,-11
291000,225,-225,-252,-11
291194,180,-225,-266,-11
291407,135,-225,-242,-11
291606,90,-225,-258,-11
291834,45,-225,-221,-11
292045,0,-225,-239,-12
292243,315,-225,-262,-12
292474,270,-225,-219,-12
292679,225,-225,-252,-12
292875,180,-225,-265,-12
293087,135,-180,-242,-12
293283,90,-180,-262,-12
293517,45,-180,-214,-12
293726,0,-180,-243,-13
293923,315,-180,-264,-13
294154,270,-225,-220,-13
294360,225,-225,-250,-13
294555,180,-225,-266,-13
294767,135,-225,-243,-13
294964,90,-225,-262,-13
295193,45,-225,-218,-13
295404,0,-225,-240,-14
298164,45,0,61,-14
298398,90,0,214,-14
298654,135,0,195,-14
298877,180,0,228,-14
299113,225,180,214,-14
299329,270,180,237,-14
299555,315,180,225,-14
299805,0,180,198,-13
300023,45,180,233,-13
300255,90,225,217,-13
300512,135,225,195,-13
300736,180,225,227,-13
300971,225,225,217,-13
301186,270,180,238,-13
301407,315,180,231,-13
301655,0,180,200,-12
301871,45,180,235,-12
302104,90,180,216,-12
302361,135,180,195,-12
302583,180,180,228,-12
302820,225,180,214,-12
303033,270,180,241,-12
303258,315,225,225,-12
303506,0,225,200,-11
303723,45,225,234,-11
303955,90,225,216,-11
304212,135,180,195,-11
304437,180,180,227,-11
304671,225,180,216,-11
304886,270,180,239,-11
305112,315,180,225,-11
305360,0,180,198,-10
305579,45,180,233,-10
305811,90,180,217,-10
306068,135,180,194,-10
306292,180,225,227,-10
306530,225,225,213,-10
306745,270,225,238,-10
306968,315,225,228,-10
307219,0,180,198,-9
307435,45,180,235,-9
307668,90,180,216,-9
307926,135,180,194,-9
308151,180,180,226,-9
308386,225,180,215,-9
308599,270,180,241,-9
308822,315,180,229,-9
309071,0,180,198,-8
309289,45,225,233,-8
309520,90,225,218,-8
309778,135,225,194,-8
309999,180,225,231,-8
310236,225,180,213,-8
310450,270,180,240,-8
310671,315,180,229,-8
310920,0,180,200,-7
311136,45,180,235,-7
311367,90,180,218,-7
311622,135,180,196,-7
311844,180,180,229,-7
312080,225,180,215,-7
312290,270,180,244,-7
